Symbol,Trades,Wins,Losses,Win Rate (%),Profit ($),Avg Profit/Trade ($)
AAPL,16,8,7,50.0,287.8019014083561,17.987618838022257
MSFT,13,4,9,30.76923076923077,-51.80286709864249,-3.984835930664807
GOOG,24,7,17,29.166666666666668,-128.6649426330992,-5.361039276379134
TSLA,34,14,20,41.17647058823529,254.09638955284208,7.473423222142414
NVDA,26,12,14,46.15384615384615,426.99205047361073,16.42277117206195
META,20,8,12,40.0,189.3569456133531,9.467847280667655
AMZN,23,7,16,30.434782608695656,-151.0818226319703,-6.5687748970421875
NFLX,26,9,17,34.61538461538461,12.121169790472038,0.4661988380950784
AMD,14,5,9,35.714285714285715,31.923085570518083,2.2802203978941487
INTC,16,5,11,31.25,-80.00296377360581,-5.000185235850363
V,12,5,6,41.66666666666667,205.40571235321613,17.117142696101343
JPM,16,9,7,56.25,728.7325614502302,45.545785090639384
DIS,9,3,6,33.33333333333333,-21.572892673185493,-2.3969880747983883
KO,11,6,4,54.54545454545454,691.5181442192762,62.86528583811602
JNJ,11,5,5,45.45454545454545,506.43906481791066,46.03991498344642
PG,12,3,8,25.0,-259.62551830085704,-21.635459858404754
